attack,switches,rate,image,label,score
chi,,,46026.png,cover,0.0
rs,,,46026.png,cover,0.263453
spa,,,46026.png,cover,0.193701
chi,,,46358.png,cover,0.999178
rs,,,46358.png,cover,-0.031238
spa,,,46358.png,cover,-0.037627
chi,,,46899.png,cover,0.0
rs,,,46899.png,cover,-0.022586
spa,,,46899.png,cover,-0.018982
chi,,,47053.png,cover,0.0
rs,,,47053.png,cover,-0.016476
spa,,,47053.png,cover,0.015528
chi,,,47448.png,cover,0.0
rs,,,47448.png,cover,0.002046
spa,,,47448.png,cover,0.004184
chi,,,47577.png,cover,0.0
rs,,,47577.png,cover,0.014253
spa,,,47577.png,cover,0.016612
chi,,,47740.png,cover,0.0
rs,,,47740.png,cover,-0.004457
spa,,,47740.png,cover,0.011631
chi,,,47796.png,cover,0.0
rs,,,47796.png,cover,0.008787
spa,,,47796.png,cover,0.001403
chi,,,47820.png,cover,0.900848
rs,,,47820.png,cover,0.000107
spa,,,47820.png,cover,0.062252
chi,,,48945.png,cover,0.999978
rs,,,48945.png,cover,0.074774
spa,,,48945.png,cover,0.000291
chi,,,49673.png,cover,0.0
rs,,,49673.png,cover,0.00629
spa,,,49673.png,cover,0.002199
chi,,,49736.png,cover,0.0
rs,,,49736.png,cover,0.00303
spa,,,49736.png,cover,0.019772
chi,,,50141.png,cover,0.0
rs,,,50141.png,cover,0.282767
spa,,,50141.png,cover,0.224605
chi,,,50489.png,cover,0.0
rs,,,50489.png,cover,0.134838
spa,,,50489.png,cover,0.078939
chi,,,51174.png,cover,0.999183
rs,,,51174.png,cover,-0.008204
spa,,,51174.png,cover,0.014291
chi,,,51857.png,cover,0.08932
rs,,,51857.png,cover,0.003586
spa,,,51857.png,cover,-0.01207
chi,,,51877.png,cover,0.101406
rs,,,51877.png,cover,-0.019396
spa,,,51877.png,cover,-0.006375
chi,,,52228.png,cover,0.0
rs,,,52228.png,cover,0.085191
spa,,,52228.png,cover,0.055172
chi,,,52297.png,cover,0.0
rs,,,52297.png,cover,0.148018
spa,,,52297.png,cover,0.108955
chi,,,52566.png,cover,0.11396
rs,,,52566.png,cover,0.028114
spa,,,52566.png,cover,0.007879
chi,,,52744.png,cover,0.0
rs,,,52744.png,cover,0.120553
spa,,,52744.png,cover,0.106069
chi,,,52773.png,cover,0.0
rs,,,52773.png,cover,0.412178
spa,,,52773.png,cover,0.330574
chi,,,53270.png,cover,0.999992
rs,,,53270.png,cover,-0.028029
spa,,,53270.png,cover,0.014235
chi,,,53355.png,cover,0.0
rs,,,53355.png,cover,0.103253
spa,,,53355.png,cover,0.094758
chi,,,53529.png,cover,0.0
rs,,,53529.png,cover,0.050872
spa,,,53529.png,cover,0.065344
chi,,,53965.png,cover,0.0
rs,,,53965.png,cover,-0.00241
spa,,,53965.png,cover,-0.009634
chi,,,54041.png,cover,0.0
rs,,,54041.png,cover,0.086178
spa,,,54041.png,cover,0.080012
chi,,,54988.png,cover,0.008463
rs,,,54988.png,cover,-0.017344
spa,,,54988.png,cover,-0.017888
chi,,,55109.png,cover,0.0
rs,,,55109.png,cover,-0.015867
spa,,,55109.png,cover,0.006279
chi,,,55303.png,cover,0.0
rs,,,55303.png,cover,0.000244
spa,,,55303.png,cover,-0.005123
chi,,,55393.png,cover,0.0
rs,,,55393.png,cover,0.031422
spa,,,55393.png,cover,0.001559
chi,,,55445.png,cover,0.0
rs,,,55445.png,cover,-0.06611
spa,,,55445.png,cover,-0.079029
chi,,,55462.png,cover,0.0
rs,,,55462.png,cover,-0.008614
spa,,,55462.png,cover,0.005406
chi,,,55519.png,cover,0.0
rs,,,55519.png,cover,-0.058018
spa,,,55519.png,cover,-0.033686
chi,,,56058.png,cover,0.984368
rs,,,56058.png,cover,0.039102
spa,,,56058.png,cover,-0.009361
chi,,,56156.png,cover,0.0
rs,,,56156.png,cover,1.480105
spa,,,56156.png,cover,0.36045
chi,,,56499.png,cover,0.0
rs,,,56499.png,cover,0.001341
spa,,,56499.png,cover,0.003557
chi,,,56960.png,cover,0.0
rs,,,56960.png,cover,0.017328
spa,,,56960.png,cover,0.026991
chi,,,56986.png,cover,0.995123
rs,,,56986.png,cover,0.023128
spa,,,56986.png,cover,-0.015335
chi,,,57155.png,cover,0.988259
rs,,,57155.png,cover,-0.03672
spa,,,57155.png,cover,-0.011526
chi,,,57913.png,cover,0.0
rs,,,57913.png,cover,0.030548
spa,,,57913.png,cover,0.013858
chi,,,57955.png,cover,0.0
rs,,,57955.png,cover,0.007846
spa,,,57955.png,cover,0.012142
chi,,,58801.png,cover,0.999959
rs,,,58801.png,cover,-0.02124
spa,,,58801.png,cover,-0.001067
chi,,,58879.png,cover,0.049917
rs,,,58879.png,cover,-0.01467
spa,,,58879.png,cover,-0.007197
chi,,,59178.png,cover,0.0
rs,,,59178.png,cover,-0.013926
spa,,,59178.png,cover,-0.012625
chi,,,59471.png,cover,0.000209
rs,,,59471.png,cover,0.010838
spa,,,59471.png,cover,-0.03708
chi,,,59639.png,cover,0.0
rs,,,59639.png,cover,-0.006016
spa,,,59639.png,cover,0.001735
chi,,,59930.png,cover,0.610409
rs,,,59930.png,cover,0.021571
spa,,,59930.png,cover,-0.014909
chi,,,60069.png,cover,0.0
rs,,,60069.png,cover,-0.019967
spa,,,60069.png,cover,-0.009474
chi,,,60590.png,cover,0.0
rs,,,60590.png,cover,-0.000681
spa,,,60590.png,cover,0.011889
chi,,,60947.png,cover,0.0
rs,,,60947.png,cover,1.115849
spa,,,60947.png,cover,0.405198
chi,,,61349.png,cover,0.0
rs,,,61349.png,cover,0.161823
spa,,,61349.png,cover,0.202173
chi,,,62297.png,cover,0.0
rs,,,62297.png,cover,0.384961
spa,,,62297.png,cover,0.338872
chi,,,63654.png,cover,0.0
rs,,,63654.png,cover,0.923638
spa,,,63654.png,cover,0.296511
chi,,,63700.png,cover,1.0
rs,,,63700.png,cover,0.02911
spa,,,63700.png,cover,0.019751
chi,,,64687.png,cover,0.999982
rs,,,64687.png,cover,-0.033706
spa,,,64687.png,cover,-0.026726
chi,,,65436.png,cover,0.0
rs,,,65436.png,cover,0.997099
spa,,,65436.png,cover,0.40595
chi,,,66245.png,cover,0.35563
rs,,,66245.png,cover,0.01974
spa,,,66245.png,cover,-0.038913
chi,,,66470.png,cover,0.0
rs,,,66470.png,cover,-0.021175
spa,,,66470.png,cover,-3.4e-05
chi,,,66541.png,cover,0.0
rs,,,66541.png,cover,0.076197
spa,,,66541.png,cover,0.070078
chi,,,66543.png,cover,0.0
rs,,,66543.png,cover,-0.010848
spa,,,66543.png,cover,-0.004303
chi,,,66563.png,cover,0.0
rs,,,66563.png,cover,0.01012
spa,,,66563.png,cover,-0.018436
chi,,,67001.png,cover,0.0
rs,,,67001.png,cover,-0.00379
spa,,,67001.png,cover,-0.023938
chi,,,67840.png,cover,0.0
rs,,,67840.png,cover,1.174389
spa,,,67840.png,cover,0.538747
chi,,,68523.png,cover,0.0
rs,,,68523.png,cover,0.014811
spa,,,68523.png,cover,0.027734
chi,,,69164.png,cover,0.993201
rs,,,69164.png,cover,-0.00861
spa,,,69164.png,cover,0.034784
chi,,,69515.png,cover,0.999638
rs,,,69515.png,cover,0.010813
