version,family,rate,attack,metric,value,eval_set
p2,ours,0.05,stegexpose,pe,0.464,test250
p2,ours,0.1,stegexpose,auc,0.521312,test250
p2,ours,0.1,stegexpose,pe,0.458,test250
p2,ours,0.25,stegexpose,auc,0.562576,test250
p2,ours,0.25,stegexpose,pe,0.42,test250
p2,ours,0.5,stegexpose,auc,0.627664,test250
p2,ours,0.5,stegexpose,pe,0.358,test250
p2,ours,1.0,stegexpose,auc,0.7168,test250
p2,ours,1.0,stegexpose,pe,0.266,test250
p3,ours,0.05,chi2,auc,0.502896,test250
p3,ours,0.05,chi2,auc_b,0.503632,test250
p3,ours,0.05,chi2,pe,0.488,test250
p3,ours,0.1,chi2,auc,0.5052,test250
p3,ours,0.1,chi2,auc_b,0.5056,test250
p3,ours,0.1,chi2,pe,0.482,test250
p3,ours,0.25,chi2,auc,0.517488,test250
p3,ours,0.25,chi2,auc_b,0.514592,test250
p3,ours,0.25,chi2,pe,0.476,test250
p3,ours,0.5,chi2,auc,0.536416,test250
p3,ours,0.5,chi2,auc_b,0.528704,test250
p3,ours,0.5,chi2,pe,0.45,test250
p3,ours,1.0,chi2,auc,0.584608,test250
p3,ours,1.0,chi2,auc_b,0.576544,test250
p3,ours,1.0,chi2,pe,0.42,test250
p3,ours,0.05,imperceptibility,mse_global,0.022064,
p3,ours,0.05,imperceptibility,psnr_global,64.695266,
p3,ours,0.05,imperceptibility,psnr_region,51.667968,
p3,ours,0.05,imperceptibility,roundtrip_fail,0.106,
p3,ours,0.05,imperceptibility,ssim_global,0.999929,
p3,ours,0.1,imperceptibility,mse_global,0.044111,
p3,ours,0.1,imperceptibility,psnr_global,61.686698,
p3,ours,0.1,imperceptibility,psnr_region,51.669701,
p3,ours,0.1,imperceptibility,roundtrip_fail,0.12,
p3,ours,0.1,imperceptibility,ssim_global,0.999847,
p3,ours,0.25,imperceptibility,mse_global,0.110222,
p3,ours,0.25,imperceptibility,psnr_global,57.709728,
p3,ours,0.25,imperceptibility,psnr_region,51.67213,
p3,ours,0.25,imperceptibility,roundtrip_fail,0.166,
p3,ours,0.25,imperceptibility,ssim_global,0.999607,
p3,ours,0.5,imperceptibility,mse_global,0.220467,
p3,ours,0.5,imperceptibility,psnr_global,54.69905,
p3,ours,0.5,imperceptibility,psnr_region,51.671752,
p3,ours,0.5,imperceptibility,roundtrip_fail,0.206,
p3,ours,0.5,imperceptibility,ssim_global,0.999225,
p3,ours,1.0,imperceptibility,mse_global,0.440842,
p3,ours,1.0,imperceptibility,psnr_global,51.689918,
p3,ours,1.0,imperceptibility,psnr_region,51.67292,
p3,ours,1.0,imperceptibility,roundtrip_fail,0.258,
p3,ours,1.0,imperceptibility,ssim_global,0.998477,
p3,ours,0.05,ml,auc,0.558926,cv10
p3,ours,0.05,ml,pe,0.4484,cv10
p3,ours,0.1,ml,auc,0.622155,cv10
p3,ours,0.1,ml,pe,0.4052,cv10
p3,ours,0.25,ml,auc,0.761947,cv10
p3,ours,0.25,ml,pe,0.3064,cv10
p3,ours,0.5,ml,auc,0.868893,cv10
p3,ours,0.5,ml,pe,0.2114,cv10
p3,ours,1.0,ml,auc,0.945962,cv10
p3,ours,1.0,ml,pe,0.1238,cv10
p3,ours,0.05,rs,auc,0.491856,test250
p3,ours,0.05,rs,bias,0.029873,test250
p3,ours,0.05,rs,pe,0.484,test250
p3,ours,0.05,rs,phat,0.079873,test250
p3,ours,0.1,rs,auc,0.503088,test250
p3,ours,0.1,rs,bias,-0.023829,test250
p3,ours,0.1,rs,pe,0.48,test250
p3,ours,0.1,rs,phat,0.076171,test250
p3,ours,0.25,rs,auc,0.505408,test250
p3,ours,0.25,rs,bias,-0.181125,test250
p3,ours,0.25,rs,pe,0.478,test250
p3,ours,0.25,rs,phat,0.068875,test250
p3,ours,0.5,rs,auc,0.488144,test250
p3,ours,0.5,rs,bias,-0.442734,test250
p3,ours,0.5,rs,pe,0.462,test250
p3,ours,0.5,rs,phat,0.057266,test250
p3,ours,1.0,rs,auc,0.472864,test250
p3,ours,1.0,rs,bias,-0.958858,test250
p3,ours,1.0,rs,pe,0.446,test250
p3,ours,1.0,rs,phat,0.041142,test250
p3,ours,0.05,spa,auc,0.503456,test250
p3,ours,0.05,spa,bias,-0.008352,test250
p3,ours,0.05,spa,pe,0.482,test250
p3,ours,0.05,spa,phat,0.041648,test250
p3,ours,0.1,spa,auc,0.507168,test250
p3,ours,0.1,spa,bias,-0.059567,test250
p3,ours,0.1,spa,pe,0.472,test250
p3,ours,0.1,spa,phat,0.040433,test250
p3,ours,0.25,spa,auc,0.524288,test250
p3,ours,0.25,spa,bias,-0.207966,test250
p3,ours,0.25,spa,pe,0.456,test250
p3,ours,0.25,spa,phat,0.042034,test250
p3,ours,0.5,spa,auc,0.507856,test250
p3,ours,0.5,spa,bias,-0.462323,test250
p3,ours,0.5,spa,pe,0.476,test250
p3,ours,0.5,spa,phat,0.037677,test250
p3,ours,1.0,spa,auc,0.51704,test250
p3,ours,1.0,spa,bias,-0.957033,test250
p3,ours,1.0,spa,pe,0.46,test250
p3,ours,1.0,spa,phat,0.042967,test250
p3,ours,0.05,stegexpose,auc,0.51928,test250
p3,ours,0.05,stegexpose,pe,0.464,test250
p3,ours,0.1,stegexpose,auc,0.513376,test250
p3,ours,0.1,stegexpose,pe,0.466,test250
p3,ours,0.25,stegexpose,auc,0.521776,test250
p3,ours,0.25,stegexpose,pe,0.472,test250
p3,ours,0.5,stegexpose,auc,0.526512,test250
p3,ours,0.5,stegexpose,pe,0.464,test250
p3,ours,1.0,stegexpose,auc,0.546,test250
p3,ours,1.0,stegexpose,pe,0.446,test250
p13,ours,0.05,chi2,auc,0.503664,test250
p13,ours,0.05,chi2,auc_b,0.501616,test250
p13,ours,0.05,chi2,pe,0.484,test250
p13,ours,0.1,chi2,auc,0.507744,test250
p13,ours,0.1,chi2,auc_b,0.506544,test250
p13,ours,0.1,chi2,pe,0.484,test250
p13,ours,0.25,chi2,auc,0.517296,test250
p13,ours,0.25,chi2,auc_b,0.512672,test250
p13,ours,0.25,chi2,pe,0.476,test250
p13,ours,0.5,chi2,auc,0.539888,test250
p13,ours,0.5,chi2,auc_b,0.532112,test250
p13,ours,0.5,chi2,pe,0.46,test250
p13,ours,1.0,chi2,auc,0.585344,test250
p13,ours,1.0,chi2,auc_b,0.574272,test250
p13,ours,1.0,chi2,pe,0.424,test250
p13,ours,0.05,imperceptibility,mse_global,0.022038,
p13,ours,0.05,imperceptibility,psnr_global,64.701406,
p13,ours,0.05,imperceptibility,psnr_region,51.674108,
p13,ours,0.05,imperceptibility,roundtrip_fail,0.174,
p13,ours,0.05,imperceptibility,ssim_global,0.999876,
p13,ours,0.1,imperceptibility,mse_global,0.044089,
p13,ours,0.1,imperceptibility,psnr_global,61.689557,
p13,ours,0.1,imperceptibility,psnr_region,51.672559,
p13,ours,0.1,imperceptibility,roundtrip_fail,0.194,
p13,ours,0.1,imperceptibility,ssim_global,0.999757,
p13,ours,0.25,imperceptibility,mse_global,0.110223,
p13,ours,0.25,imperceptibility,psnr_global,57.710055,
p13,ours,0.25,imperceptibility,psnr_region,51.672457,
p13,ours,0.25,imperceptibility,roundtrip_fail,0.224,
p13,ours,0.25,imperceptibility,ssim_global,0.999432,
p13,ours,0.5,imperceptibility,mse_global,0.220397,
p13,ours,0.5,imperceptibility,psnr_global,54.700681,
p13,ours,0.5,imperceptibility,psnr_region,51.673383,
p13,ours,0.5,imperceptibility,roundtrip_fail,0.246,
p13,ours,0.5,imperceptibility,ssim_global,0.998989,
p13,ours,1.0,imperceptibility,mse_global,0.440748,
p13,ours,1.0,imperceptibility,psnr_global,51.690818,
p13,ours,1.0,imperceptibility,psnr_region,51.67382,
p13,ours,1.0,imperceptibility,roundtrip_fail,0.252,
p13,ours,1.0,imperceptibility,ssim_global,0.998477,
p13,ours,0.05,ml,auc,0.591581,cv10
p13,ours,0.05,ml,pe,0.4268,cv10
p13,ours,0.1,ml,auc,0.672301,cv10
p13,ours,0.1,ml,pe,0.3702,cv10
p13,ours,0.25,ml,auc,0.815198,cv10
p13,ours,0.25,ml,pe,0.2602,cv10
p13,ours,0.5,ml,auc,0.896014,cv10
p13,ours,0.5,ml,pe,0.1842,cv10
p13,ours,1.0,ml,auc,0.945845,cv10
p13,ours,1.0,ml,pe,0.1254,cv10
p13,ours,0.05,rs,auc,0.504112,test250
p13,ours,0.05,rs,bias,0.032375,test250
p13,ours,0.05,rs,pe,0.48,test250
p13,ours,0.05,rs,phat,0.082375,test250
p13,ours,0.1,rs,auc,0.511488,test250
p13,ours,0.1,rs,bias,-0.018699,test250
p13,ours,0.1,rs,pe,0.474,test250
p13,ours,0.1,rs,phat,0.081301,test250
p13,ours,0.25,rs,auc,0.51816,test250
p13,ours,0.25,rs,bias,-0.177517,test250
p13,ours,0.25,rs,pe,0.466,test250
p13,ours,0.25,rs,phat,0.072483,test250
p13,ours,0.5,rs,auc,0.495104,test250
p13,ours,0.5,rs,bias,-0.439625,test250
p13,ours,0.5,rs,pe,0.472,test250
p13,ours,0.5,rs,phat,0.060375,test250
p13,ours,1.0,rs,auc,0.499072,test250
p13,ours,1.0,rs,bias,-0.950366,test250
p13,ours,1.0,rs,pe,0.466,test250
p13,ours,1.0,rs,phat,0.049634,test250
p13,ours,0.05,spa,auc,0.501072,test250
p13,ours,0.05,spa,bias,-0.008039,test250
p13,ours,0.05,spa,pe,0.482,test250
p13,ours,0.05,spa,phat,0.041961,test250
p13,ours,0.1,spa,auc,0.513648,test250
p13,ours,0.1,spa,bias,-0.056521,test250
p13,ours,0.1,spa,pe,0.478,test250
p13,ours,0.1,spa,phat,0.043479,test250
p13,ours,0.25,spa,auc,0.522752,test250
p13,ours,0.25,spa,bias,-0.205806,test250
p13,ours,0.25,spa,pe,0.462,test250
p13,ours,0.25,spa,phat,0.044194,test250
p13,ours,0.5,spa,auc,0.516592,test250
p13,ours,0.5,spa,bias,-0.457985,test250
p13,ours,0.5,spa,pe,0.46,test250
p13,ours,0.5,spa,phat,0.042015,test250
p13,ours,1.0,spa,auc,0.517744,test250
p13,ours,1.0,spa,bias,-0.953827,test250
p13,ours,1.0,spa,pe,0.466,test250
p13,ours,1.0,spa,phat,0.046173,test250
p13,ours,0.05,stegexpose,auc,0.506656,test250
p13,ours,0.05,stegexpose,pe,0.468,test250
p13,ours,0.1,stegexpose,auc,0.514176,test250
p13,ours,0.1,stegexpose,pe,0.47,test250
p13,ours,0.25,stegexpose,auc,0.521968,test250
p13,ours,0.25,stegexpose,pe,0.462,test250
p13,ours,0.5,stegexpose,auc,0.535792,test250
p13,ours,0.5,stegexpose,pe,0.458,test250
p13,ours,1.0,stegexpose,auc,0.550176,test250
p13,ours,1.0,stegexpose,pe,0.438,test250
all,ours,0.05,chi2,auc,0.50456,test250
all,ours,0.05,chi2,auc_b,0.502496,test250
all,ours,0.05,chi2,pe,0.484,test250
all,ours,0.1,chi2,auc,0.509584,test250
all,ours,0.1,chi2,auc_b,0.506816,test250
all,ours,0.1,chi2,pe,0.482,test250
all,ours,0.25,chi2,auc,0.524624,test250
all,ours,0.25,chi2,auc_b,0.515168,test250
all,ours,0.25,chi2,pe,0.47,test250
all,ours,0.5,chi2,auc,0.55488,test250
all,ours,0.5,chi2,auc_b,0.536656,test250
all,ours,0.5,chi2,pe,0.446,test250
all,ours,1.0,chi2,auc,0.626288,test250
all,ours,1.0,chi2,auc_b,0.587296,test250
all,ours,1.0,chi2,pe,0.396,test250
all,ours,0.05,imperceptibility,mse_global,0.022132,
all,ours,0.05,imperceptibility,psnr_global,64.680949,
all,ours,0.05,imperceptibility,psnr_region,51.653651,
all,ours,0.05,imperceptibility,roundtrip_fail,0.0,
all,ours,0.05,imperceptibility,ssim_global,0.999871,
all,ours,0.1,imperceptibility,mse_global,0.044276,
all,ours,0.1,imperceptibility,psnr_global,61.669239,
all,ours,0.1,imperceptibility,psnr_region,51.652241,
all,ours,0.1,imperceptibility,roundtrip_fail,0.0,
all,ours,0.1,imperceptibility,ssim_global,0.999741,
all,ours,0.25,imperceptibility,mse_global,0.110694,
all,ours,0.25,imperceptibility,psnr_global,57.68962,
all,ours,0.25,imperceptibility,psnr_region,51.652022,
all,ours,0.25,imperceptibility,roundtrip_fail,0.0,
all,ours,0.25,imperceptibility,ssim_global,0.999353,
all,ours,0.5,imperceptibility,mse_global,0.221341,
all,ours,0.5,imperceptibility,psnr_global,54.680204,
all,ours,0.5,imperceptibility,psnr_region,51.652907,
all,ours,0.5,imperceptibility,roundtrip_fail,0.0,
